date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-05-15, 09:40:56	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:58	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:41:00	0 Hz	0 W	3,5E0 mbar	3,2E0 mbar
2021-05-15, 09:41:02	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:04	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:06	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:08	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:10	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:12	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:14	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:16	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:18	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:20	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:22	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:24	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:26	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:28	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:30	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:32	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:34	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:36	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:38	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:40	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:42	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:44	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:46	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:48	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:50	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:52	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:54	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:56	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:41:58	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:42:00	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:42:02	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:42:04	0 Hz	0 W	3,5E0 mbar	3,4E0 mbar
2021-05-15, 09:42:06	0 Hz	0 W	3,5E0 mbar	3,4E0 mbar
2021-05-15, 09:42:08	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
