date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-05-15, 10:58:12	1500 Hz	18 W	3,4E-4 mbar	3E-4 mbar
2021-05-15, 10:58:14	1500 Hz	17 W	3,4E-4 mbar	3E-4 mbar
2021-05-15, 10:58:16	1500 Hz	17 W	3,4E-4 mbar	3E-4 mbar
2021-05-15, 10:58:18	1500 Hz	18 W	3,4E-4 mbar	3E-4 mbar
2021-05-15, 10:58:20	1500 Hz	18 W	3,4E-4 mbar	3E-4 mbar
2021-05-15, 10:58:22	1500 Hz	18 W	3,4E-4 mbar	3E-4 mbar
2021-05-15, 10:58:24	1500 Hz	18 W	3,4E-4 mbar	3E-4 mbar
2021-05-15, 10:58:26	1500 Hz	18 W	3,4E-4 mbar	3E-4 mbar
2021-05-15, 10:58:28	1500 Hz	17 W	3,4E-4 mbar	3E-4 mbar
2021-05-15, 10:58:30	1500 Hz	18 W	3,7E-4 mbar	3E-4 mbar
2021-05-15, 10:58:32	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2021-05-15, 10:58:34	1500 Hz	19 W	3,9E-4 mbar	3,5E-4 mbar
2021-05-15, 10:58:36	1500 Hz	19 W	3,9E-4 mbar	3,5E-4 mbar
2021-05-15, 10:58:38	1500 Hz	19 W	3,9E-4 mbar	3,5E-4 mbar
2021-05-15, 10:58:40	1500 Hz	19 W	3,9E-4 mbar	3,5E-4 mbar
2021-05-15, 10:58:42	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2021-05-15, 10:58:44	1500 Hz	18 W	4,6E-4 mbar	4E-4 mbar
2021-05-15, 10:58:46	1500 Hz	18 W	4,6E-4 mbar	4E-4 mbar
2021-05-15, 10:58:48	1500 Hz	19 W	4,6E-4 mbar	4E-4 mbar
2021-05-15, 10:58:50	1500 Hz	19 W	4,6E-4 mbar	4E-4 mbar
2021-05-15, 10:58:52	1500 Hz	19 W	4,7E-4 mbar	4E-4 mbar
2021-05-15, 10:58:54	1500 Hz	19 W	4,6E-4 mbar	4E-4 mbar
2021-05-15, 10:58:56	1500 Hz	18 W	4,7E-4 mbar	4E-4 mbar
2021-05-15, 10:58:58	1500 Hz	18 W	4,9E-4 mbar	4E-4 mbar
2021-05-15, 10:59:00	1500 Hz	18 W	5E-4 mbar	4E-4 mbar
2021-05-15, 10:59:02	1500 Hz	19 W	5E-4 mbar	4E-4 mbar
2021-05-15, 10:59:04	1500 Hz	19 W	5E-4 mbar	4E-4 mbar
2021-05-15, 10:59:06	1500 Hz	19 W	5E-4 mbar	4E-4 mbar
2021-05-15, 10:59:08	1500 Hz	18 W	5E-4 mbar	4E-4 mbar
